nombre,direccion,telefono,categoria,ubicacion,valoracion,num_reseñas,tiene_web,website,google_maps_link,tipo,estado,fecha_generacion,fecha_contacto,url_demo,notas
Jardí Pond,"Camí de Can Curet, 15, 08224 Terrassa, Barcelona, España",+34 937 00 12 40,jardinero,Terrassa,4.4,0,False,,,Servicio de jardinería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jardí-pond/,
Centro de Jardinería i Floristeria Argemí,"Ctra. Talamanca, km. 3, 08225 Terrassa, Barcelona, España",+34 937 87 00 50,jardinero,Terrassa,4.3,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/centro-de-jardinería-i-floristeria-argemí/,
Simanya jardiners (Can Roca),"Av. de Béjar, 16, 08225 Terrassa, Barcelona, España",+34 633 01 73 93,jardinero,Terrassa,5,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/simanya-jardiners-can-roca/,
Garden 4 Vents,"Carrer Falciot, 49, 08224 Terrassa, Barcelona, España",+34 935 88 46 46,jardinero,Terrassa,4.1,0,False,,,Centro de jardinería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/garden-4-vents/,
RYCASA REGULADORES Y CONST,"Carrer del Ter, 18, Can Palet, 08223 Terrassa, Barcelona, España",,jardinero,Terrassa,3.6,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/rycasa-reguladores-y-const/,
Xavier Fontas,"Carrer de l'Agricultura, 48, Can Palet, 08223 Terrassa, Barcelona, España",+34 647 57 22 49,jardinero,Terrassa,5,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/xavier-fontas/,
Raco Cerrajeros Terrassa,"Avinguda de Madrid, 1D, local, 08227 Terrassa, Barcelona, España",+34 930 10 75 91,cerrajero,Terrassa,4.8,0,False,,,Cerrajero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/raco-cerrajeros-terrassa/,
JaimeSerraller 24H/7D,"Carrer del Germà Joaquim, 7, Can Palet, 08223 Terrassa, Barcelona, España",+34 711 20 00 24,cerrajero,Terrassa,5,0,False,,,Cerrajero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jaimeserraller-24h7d/,
Serralleria Aranda Luis,"Carrer de Pau Marsal, 6, 08222 Terrassa, Barcelona, España",+34 937 86 04 39,cerrajero,Terrassa,3.6,0,False,,,Cerrajero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/serralleria-aranda-luis/,
La Llar de Les Claus,"Carrer de la Rasa, 58, 08221 Terrassa, Barcelona, España",+34 937 88 08 94,cerrajero,Terrassa,4.2,0,False,,,Cerrajero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/la-llar-de-les-claus/,
Puertas Alarmas Y Automatismo Turkamatic,"Carrer de Bilbao, 38, 08227 Terrassa, Barcelona, España",+34 637 33 55 33,cerrajero,Terrassa,5,0,False,,,Cerrajero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/puertas-alarmas-y-automatismo-turkamatic/,
Jaiser Rehabilitación de Fachadas - Alquiler y Montaje de Andamios,"Carrer del miño 6 20 Nave 17 Vial C del polígono industrial Can Palet 08223 Terrassa Barcelona industrial, 08223 Terrassa, Barcelona, España",+34 931 17 07 05,limpieza fachadas,Terrassa,4.1,0,False,,,Constructor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jaiser-rehabilitación-de-fachadas-alquiler-y-montaje-de-andamios/,
Neteges Cabassa,"Ctra. de Castellar, 99, 08222 Terrassa, Barcelona, España",+34 609 71 48 81,limpieza fachadas,Terrassa,4.6,0,False,,,Servicios de limpieza,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/neteges-cabassa/,
Mes Net S.L,"Carrer de Valls, 101, El Segle XX, 08223 Terrassa, Barcelona, España",+34 937 85 06 26,limpieza fachadas,Terrassa,3.5,0,False,,,Servicios de limpieza,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/mes-net-sl/,
Reformes D.M.,"Ctra. de Mata, 60, 08304 Mataró, Barcelona, España",+34 633 19 92 74,reformas cocina,Mataró,5,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformes-dm/,
Reformes D.M.,"Ctra. de Mata, 60, 08304 Mataró, Barcelona, España",+34 633 19 92 74,reformas baño,Mataró,5,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformes-dm/,
El Món De La Reforma,"Carrer de Pompeu Fabra, 27, 08302 Mataró, Barcelona, España",+34 930 01 39 76,reformas baño,Mataró,5,0,False,,,Proveedor de materiales de construcción,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/el-món-de-la-reforma/,
Rafael Soler Ferrer,"Carrer Fray Luis de León, 36, bajo 1, 08302 Mataró, Barcelona, España",+34 678 42 07 46,reformas baño,Mataró,5,0,False,,,Reformas de baños,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/rafael-soler-ferrer/,
Reformes D.M.,"Ctra. de Mata, 60, 08304 Mataró, Barcelona, España",+34 633 19 92 74,reformas integrales,Mataró,5,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformes-dm/,
Reforma2,"Torrent de les Piques, 69, 08304 Mataró, Barcelona, España",+34 600 03 65 60,reformas integrales,Mataró,4.5,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reforma2/,
Reformas integrales ArtService,"08302 Mataró, Barcelona, España",,reformas integrales,Mataró,0,0,False,,,Empresa constructora,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-integrales-artservice/,
Rekalum Carpinteria D' Alumini,"Carrer Tossa, 8, 08303 Mataró, Barcelona, España",+34 653 04 58 87,carpintero aluminio,Mataró,4.4,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/rekalum-carpinteria-d-alumini/,
Cristalería Castillo Carpintería de Aluminio,"Carrer Batista i Roca, 6, 08302 Mataró, Barcelona, España",+34 937 98 17 12,carpintero aluminio,Mataró,4.2,0,False,,,Tienda de artículos de cristal,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/cristalería-castillo-carpintería-de-aluminio/,
Vidrios Y Aluminios E Martín,"Carrer de Pineda, 15, 08303 Mataró, Barcelona, España",+34 937 98 79 01,carpintero aluminio,Mataró,5,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/vidrios-y-aluminios-e-martín/,
Aluminis y Vidres DIAZ,"Camí de la Geganta, 107, 08302 Mataró, Barcelona, España",+34 937 99 70 08,carpintero aluminio,Mataró,5,0,False,,,Ventana de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/aluminis-y-vidres-diaz/,
Empresa desatascos Mataró,"Carrer Turó de Montgat, 1, 08304 Mataró, Barcelona, España",+34 658 81 97 80,fontanero,Mataró,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/empresa-desatascos-mataró/,
Desatascos Mataró ERM,,+34 650 51 47 07,fontanero,Mataró,0,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/desatascos-mataró-erm/,
Hidrofonts Tècnics de l'Aigua S.L.,"Camí del Mig, 69, sot. -1, 08302 Mataró, Barcelona, España",+34 937 07 48 58,fontanero,Mataró,4.7,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/hidrofonts-tècnics-de-laigua-sl/,
Lampista( Felix Galeano y Ramon Linares ),"Carrer de les Caramelles, 11, 08304 Mataró, Barcelona, España",+34 685 51 85 36,fontanero,Mataró,4.8,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/lampista-felix-galeano-y-ramon-linares/,
Electricidad Y Telecomunicaciones Martínez,"Carrer dels Almogàvers, 10, 08303 Mataró, Barcelona, España",+34 937 57 77 76,electricista,Mataró,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/electricidad-y-telecomunicaciones-martínez/,
Electronova Instal·lacions,"Carrer del Massevà, 42, 08302 Mataró, Barcelona, España",+34 676 26 56 45,electricista,Mataró,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/electronova-installacions/,
ELECTRO SERVEI,"Carrer de Sant Cugat, 103, 08302 Mataró, Barcelona, España",+34 607 85 85 38,electricista,Mataró,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/electro-servei/,
Electricidad,"Carrer de Tarragona, 8, 08303 Mataró, Barcelona, España",,electricista,Mataró,4.5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/electricidad/,
Unión Electrónica,"Carrer de la Mare de Déu de Núria, 5, 08303 Mataró, Barcelona, España",+34 937 57 03 18,electricista,Mataró,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/unión-electrónica/,
Instal·lacions Ismax s.l.,"Carrer Unió, 42, 44, 08302 Mataró, Barcelona, España",+34 937 99 83 01,electricista,Mataró,4.3,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/installacions-ismax-sl/,
Euro Light Group Serveis,"Carrer Llauder, 137, 08302 Mataró, Barcelona, España",+34 937 07 77 75,electricista,Mataró,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/euro-light-group-serveis/,
Instalaciones Martínez Fernández S.L.,"Plaça Canyamars, 5, 08303 Mataró, Barcelona, España",+34 937 57 17 69,electricista,Mataró,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalaciones-martínez-fernández-sl/,
"Instalaciones J.L. Chicote e Hijos, Sl","Riera de Figuera Major, 21, 08304 Mataró, Barcelona, España",+34 937 57 13 75,electricista,Mataró,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalaciones-jl-chicote-e-hijos-sl/,
David Castro López,"Carrer Mossèn Molé, 20, 08304 Mataró, Barcelona, España",,electricista,Mataró,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/david-castro-lópez/,
Instal·lacions Hidalgo Ruiz,"Carrer los Àlamos, 7, 08301 Mataró, Barcelona, España",+34 937 90 73 37,electricista,Mataró,3,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/installacions-hidalgo-ruiz/,
Iniciativas Comerciales Eléctricas Sa,"Via Sèrgia, 90, BAJO, 08302 Mataró, Barcelona, España",+34 937 58 80 40,electricista,Mataró,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/iniciativas-comerciales-eléctricas-sa/,
Instal·lacions Ismax s.l.,"Carrer Unió, 42, 44, 08302 Mataró, Barcelona, España",+34 937 99 83 01,aire acondicionado,Mataró,4.3,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/installacions-ismax-sl/,
Instaladores de Climatización,"Camí Ral de la Mercè, 565, Local A, 08302 Mataró, Barcelona, España",+34 935 92 15 41,aire acondicionado,Mataró,0,0,False,,,Tienda aire acondicionado,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instaladores-de-climatización/,
Pinturas y reformas tudela,"Av. d'Amèrica, 55, 08304 Mataró, Barcelona, España",+34 698 52 77 79,pintor decorator,Mataró,4.6,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pinturas-y-reformas-tudela/,
Pintores Mito,"Carrer Queralbs, 26, 1º 1ª, 08303 Mataró, Barcelona, España",+34 690 09 82 46,pintor decorator,Mataró,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pintores-mito/,
Llibre Pintors,"Camí Ral de la Mercè, 318, 08301 Mataró, Barcelona, España",+34 696 65 55 29,pintor decorator,Mataró,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/llibre-pintors/,
Pinturas Maresme,"persiana Gris oscuro, n° 157, Carrer de Sant Cugat, 157, 08302 Mataró, Barcelona, España",+34 651 16 93 18,pintor decorator,Mataró,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pinturas-maresme/,
Pintors Garriga | Maresme,"Carrer de Cuba, 84, 08302 Mataró, Barcelona, España",+34 634 67 11 58,pintor decorator,Mataró,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pintors-garriga-maresme/,
Pint-Decor,,+34 658 59 73 75,pintor decorator,Mataró,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pint-decor/,
J R PINTORS,"Carrer Galícia, 78, local, 08303 Mataró, Barcelona, España",+34 606 96 86 39,pintor decorator,Mataró,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/j-r-pintors/,
Eduard Sanchez Espin,"Passeig Carles Padrós, 67, 2, 08304 Mataró, Barcelona, España",+34 687 42 45 61,pintor decorator,Mataró,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/eduard-sanchez-espin/,
Pintura y Decoración IMRAN,"Carrer República Argentina, 25, 08304 Mataró, Barcelona, España",,pintor decorator,Mataró,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pintura-y-decoración-imran/,
Fcc Medio Ambiente Jardins Mataró,"Carrer Pacheco, 90, 08301 Mataró, Barcelona, España",,jardinero,Mataró,0,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/fcc-medio-ambiente-jardins-mataró/,
Jardinería Joan Cuquet,"Torrent d'en Pregària, 3, 08304 Mataró, Barcelona, España",+34 669 29 73 03,jardinero,Mataró,0,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jardinería-joan-cuquet/,
Vives P. Benavent,"Camí de les Cinc Senies, 38, 08304 Mataró, Barcelona, España",+34 937 90 69 94,jardinero,Mataró,3.6,0,False,,,Centro de jardinería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/vives-p-benavent/,
Monjardin.multiservice,"Plaça Joan XXIII, 6, 08304 Mataró, Barcelona, España",+34 677 77 01 42,jardinero,Mataró,0,0,False,,,Servicio de jardinería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/monjardinmultiservice/,
Serraller Mataró 1980,"Carrer Estrasburg, 08304 Mataró, Barcelona, España",+34 711 22 85 51,cerrajero,Mataró,0,0,False,,,Servei de serralleria d’urgències,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/serraller-mataró-1980/,
A one Locks Solutions,"Carrer Fray Luis de León, 52, 08302 Mataró, Barcelona, España",+34 621 06 36 89,cerrajero,Mataró,5,0,False,,,Servei de serralleria d’urgències,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/a-one-locks-solutions/,
Pavid Net S L,"Carrer de Julià Gual, 8, local esq, 08304 Mataró, Barcelona, España",+34 937 57 76 83,limpieza fachadas,Mataró,4.4,0,False,,,Servicio de limpieza,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pavid-net-s-l/,
SERVINET MARESME - SERVICIOS DE LIMPIEZA,"Carrer Floridablanca, 33, 1º 2ª, 08301 Mataró, Barcelona, España",+34 689 07 06 56,limpieza fachadas,Mataró,5,0,False,,,Servicios de limpieza,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/servinet-maresme-servicios-de-limpieza/,
Selsa Mataro,"Carrer Pacheco, 90, 08301 Mataró, Barcelona, España",,limpieza fachadas,Mataró,3.7,0,False,,,Servicio de limpieza de ventanas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/selsa-mataro/,
Aluminios Ancar,"Carrer de Sant Jaume, 63, 08401 Granollers, Barcelona, España",+34 650 90 54 91,carpintero aluminio,Granollers,4.8,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/aluminios-ancar/,
Tancal Carpintería de Aluminio,"Carrer Mas Pujol, 45, 08520 Corró d'Avall, Barcelona, España",+34 938 40 02 38,carpintero aluminio,Granollers,4.1,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/tancal-carpintería-de-aluminio/,
"ALUMINIOS MIGUEL, S.L","Carrer Verge de Fátima, 7, 08420 Canovelles, Barcelona, España",+34 938 49 36 99,carpintero aluminio,Granollers,4.6,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/aluminios-miguel-sl/,
Ballús S.c.p.,"Carrer Francesc Tarafa, 2, 08402 Granollers, Barcelona, España",+34 938 79 11 91,carpintero aluminio,Granollers,0,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/ballús-scp/,
Fontanero y Electricista 24H,,+34 640 30 97 54,fontanero,Granollers,4.9,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/fontanero-y-electricista-24h/,
Instalaciones Llestanos S L,"Carrer de Francesc Macià i Llussà, 136, 08401 Granollers, Barcelona, España",+34 938 70 08 09,fontanero,Granollers,3.3,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalaciones-llestanos-s-l/,
Agustín Rodríguez Lorite,"Carrer Uruguai, 5, 08402 Granollers, Barcelona, España",+34 938 70 00 21,fontanero,Granollers,0,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/agustín-rodríguez-lorite/,
Instalaciones G Manga,"Carrer Rafael Casanova, 66, 08401 Granollers, Barcelona, España",+34 647 96 30 45,fontanero,Granollers,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalaciones-g-manga/,
"Asociación de Intaladores de Electricidad, Fontanería, Gas y Afines del Valle Oriental","Carrer Josep Maria de Sagarra, 68, 08402 Granollers, Barcelona, España",+34 938 70 73 40,fontanero,Granollers,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/asociación-de-intaladores-de-electricidad-fontanería-gas-y-afines-del-valle-oriental/,
Fontanero y Electricista 24H,,+34 640 30 97 54,electricista,Granollers,4.9,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/fontanero-y-electricista-24h/,
Instalaciónes Empire Ros@ Servicios,"08401 Granollers, Barcelona, España",+34 673 12 98 34,electricista,Granollers,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalaciónes-empire-ros-servicios/,
Electric2,"Passatge Lledoner, 16, 08400 Granollers, Barcelona, España",+34 938 49 28 00,electricista,Granollers,3,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/electric2/,
Grup Eurovalles Electric,"08401 Granollers, Barcelona, España",,electricista,Granollers,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/grup-eurovalles-electric/,
OBRAS Y SERVICIOS NEMO ELECTRICISTA S. L,"Carrer de Girona, 32, LOCAL 4, 08402 Granollers, Barcelona, España",,electricista,Granollers,0,0,False,,,Constructor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/obras-y-servicios-nemo-electricista-s-l/,
"Asociación de Intaladores de Electricidad, Fontanería, Gas y Afines del Valle Oriental","Carrer Josep Maria de Sagarra, 68, 08402 Granollers, Barcelona, España",+34 938 70 73 40,electricista,Granollers,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/asociación-de-intaladores-de-electricidad-fontanería-gas-y-afines-del-valle-oriental/,
Girbau Ace by Nimnar,"Travessia Tomàs Balbey, 12, 08403 Granollers, Barcelona, España",+34 938 40 14 11,aire acondicionado,Granollers,3.5,0,False,,,Empresa de climatización,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/girbau-ace-by-nimnar/,
"Intergas 2015 S.L - Reparación, instalación y mantenimiento calderas y aparatos de aire acondicionado","Carrer de la Mare de Déu de Montserrat, 61, 08401 Granollers, Barcelona, España",+34 639 77 59 27,aire acondicionado,Granollers,4.8,0,False,,,Servicio de reparación de aire acondicionado,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/intergas-2015-sl-reparación-instalación-y-mantenimiento-calderas-y-aparatos-de-aire-acondicionado/,
La Botiga Del Clima,"Carrer de Mollet, 22, 08401 Granollers, Barcelona, España",,aire acondicionado,Granollers,0,0,False,,,Contratista de aire acondicionado,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/la-botiga-del-clima/,
Pintura i Decoració Ramón,"Carrer Primer Marquès Franqueses, 146, 08402 Granollers, Barcelona, España",+34 610 86 67 24,pintor decorator,Granollers,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pintura-i-decoració-ramón/,
"Jose Barrios Pintor fino, limpio y responsable","Carrer de Girona, 189, 08402 Granollers, Barcelona, España",+34 936 94 20 26,pintor decorator,Granollers,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jose-barrios-pintor-fino-limpio-y-responsable/,
PINTOR GRANOLLERS CENTRE,,+34 625 90 34 34,pintor decorator,Granollers,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pintor-granollers-centre/,
Josep Maria Cabané,"Av. de Marie Curie, 08402 Granollers, Barcelona, España",,pintor decorator,Granollers,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/josep-maria-cabané/,
Jardí paradís,"Carrer Bartolomé Esteban Murillo, 08401 Granollers, Barcelona, España",+34 695 97 92 62,jardinero,Granollers,5,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jardí-paradís/,
Joaquín Puigdomenech Sarabia,"Carrer de Navarra, 85, 08401 Granollers, Barcelona, España",+34 938 70 65 56,jardinero,Granollers,5,0,False,,,Centro de jardinería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/joaquín-puigdomenech-sarabia/,
Floristería Pètals Granollers,"Carrer Rafael Casanova, 64, LOCAL 2, 08401 Granollers, Barcelona, España",+34 661 93 21 92,jardinero,Granollers,5,0,False,,,Servicio de jardinería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/floristería-pètals-granollers/,
"Jorge Busamia, Sl","Carrer de Joanot Martorell, 75, 08403 Granollers, Barcelona, España",+34 938 49 04 05,jardinero,Granollers,0,0,False,,,Centro de jardinería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jorge-busamia-sl/,
Cerrajero Luis 24 Horas,"Carrer de Joan Prim, 91, 08401 Granollers, Barcelona, España",+34 621 35 48 84,cerrajero,Granollers,5,0,False,,,Cerrajero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/cerrajero-luis-24-horas/,
Serralleria Montpart,"Carrer de Sant Jaume, 13, 08401 Granollers, Barcelona, España",+34 722 32 84 65,cerrajero,Granollers,4.5,0,False,,,Cerrajero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/serralleria-montpart/,
Cerrajero Moises Granollers,"Carrer Vicenç Albarranch, 08402 Granollers, Barcelona, España",,cerrajero,Granollers,0,0,False,,,Cerrajero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/cerrajero-moises-granollers/,
el teu serraller alfred,"Carrer d'Alfons IV, 74, 08401 Granollers, Barcelona, España",+34 611 04 41 85,cerrajero,Granollers,0,0,False,,,Servei de serralleria d’urgències,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/el-teu-serraller-alfred/,
cerrajeros nou barris jordy,"Carrer d'Enric Prat de la Riba, 24, 08401 Granollers, Barcelona, España",+34 611 07 72 64,cerrajero,Granollers,5,0,False,,,Comercio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/cerrajeros-nou-barris-jordy/,
Serraller Soriano 1987,"Carrer de Barcelona, 63, 08401 Granollers, Barcelona, España",+34 644 04 41 85,cerrajero,Granollers,0,0,False,,,Servei de serralleria d’urgències,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/serraller-soriano-1987/,
Limpiezas Granollers - Empresa de Limpieza en Granollers,"Carrer de Sant Jaume, 67, 08401 Granollers, Barcelona, España",+34 936 94 07 86,limpieza fachadas,Granollers,5,0,False,,,Servicio de limpieza,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/limpiezas-granollers-empresa-de-limpieza-en-granollers/,
Reformas Vangi,,+34 697 66 78 27,reformas baño,Sant Cugat del Vallès,5,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-vangi/,
Construccion y reformas Integrales,"Carrer d'Orient, 78, 08172 Sant Cugat del Vallès, Barcelona, España",+34 936 75 13 59,reformas integrales,Sant Cugat del Vallès,4.5,0,False,,,Contratista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/construccion-y-reformas-integrales/,
Novavida Reformas Integrales Sant Cugat,"Carrer del Rusc, 6, 08197 Sant Cugat del Vallès, Barcelona, España",+34 640 06 51 70,reformas integrales,Sant Cugat del Vallès,0,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/novavida-reformas-integrales-sant-cugat/,
REFORMAS INTEGRALES 24H S.L,,+34 649 97 49 86,reformas integrales,Sant Cugat del Vallès,0,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-integrales-24h-sl/,
SZ Reformas Integrales,,+34 647 55 56 26,reformas integrales,Sant Cugat del Vallès,0,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/sz-reformas-integrales/,
Reformas al Cuadrado,"Carrer del Dos de Maig, 25, 1ª6ª, 08172 Sant Cugat del Vallès, Barcelona, España",+34 605 05 20 41,reformas integrales,Sant Cugat del Vallès,0,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-al-cuadrado/,
Ecoalum Carpintería Sostenible,,+34 699 17 25 20,carpintero aluminio,Sant Cugat del Vallès,4.8,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/ecoalum-carpintería-sostenible/,
